-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 01/01/2021 
Location: Latitude  51.0432   Longitude 13.7383 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 212.42 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
51.04321,13.73831,2013,01,01,    0.72,    4.35,   88.80,   98.18
51.04321,13.73831,2013,01,02,    0.54,    4.23,   94.03,   99.34
51.04321,13.73831,2013,01,03,    3.61,    4.89,   95.44,   99.93
51.04321,13.73831,2013,01,04,   11.41,    6.01,   94.51,  100.00
51.04321,13.73831,2013,01,05,    5.00,    5.62,   96.65,   99.97
51.04321,13.73831,2013,01,06,    6.01,    5.31,   96.99,   99.74
51.04321,13.73831,2013,01,07,    3.64,    4.61,   94.76,  100.01
51.04321,13.73831,2013,01,08,    5.25,    4.90,   96.86,   99.70
51.04321,13.73831,2013,01,09,    4.97,    5.10,   96.21,   99.21
51.04321,13.73831,2013,01,10,    4.50,    4.25,   95.02,   98.21
51.04321,13.73831,2013,01,11,    1.98,    2.89,   90.65,   98.59
51.04321,13.73831,2013,01,12,    1.31,    2.73,   89.86,   99.12
51.04321,13.73831,2013,01,13,    0.22,    2.39,   84.98,   99.28
51.04321,13.73831,2013,01,14,    1.11,    2.28,   90.16,   98.88
51.04321,13.73831,2013,01,15,    0.20,    2.48,   91.29,   98.41
51.04321,13.73831,2013,01,16,    0.54,    2.43,   91.50,   98.29
51.04321,13.73831,2013,01,17,    0.45,    2.43,   88.34,   98.66
51.04321,13.73831,2013,01,18,    0.20,    1.99,   82.21,   98.59
51.04321,13.73831,2013,01,19,    0.24,    1.84,   81.96,   97.77
51.04321,13.73831,2013,01,20,    0.98,    2.04,   83.82,   97.51
51.04321,13.73831,2013,01,21,    6.29,    2.00,   86.25,   97.51
51.04321,13.73831,2013,01,22,    0.42,    1.57,   82.75,   98.05
51.04321,13.73831,2013,01,23,    0.14,    1.75,   84.63,   98.34
51.04321,13.73831,2013,01,24,    0.32,    1.83,   88.09,   98.67
51.04321,13.73831,2013,01,25,    0.09,    1.59,   89.44,   99.41
51.04321,13.73831,2013,01,26,    0.01,    1.41,   88.51,   98.91
51.04321,13.73831,2013,01,27,    2.95,    2.71,   93.92,   98.25
51.04321,13.73831,2013,01,28,    0.41,    3.62,   95.91,   98.63
