LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
50.27011,19.03371,2013,01,01,    0.00,    3.03,   83.69,   97.49
50.27011,19.03371,2013,01,02,    0.43,    3.19,   93.39,   98.13
50.27011,19.03371,2013,01,03,    4.60,    3.84,   95.11,   98.58
50.27011,19.03371,2013,01,04,    4.71,    4.54,   97.32,   98.22
50.27011,19.03371,2013,01,05,    3.46,    3.92,   94.51,   98.10
50.27011,19.03371,2013,01,06,    4.58,    3.36,   94.64,   98.15
50.27011,19.03371,2013,01,07,    0.15,    2.18,   78.61,   98.74
50.27011,19.03371,2013,01,08,    2.46,    2.02,   87.04,   98.56
50.27011,19.03371,2013,01,09,    1.52,    3.21,   96.03,   98.04
50.27011,19.03371,2013,01,10,    4.53,    3.56,   92.39,   96.78
50.27011,19.03371,2013,01,11,    2.28,    2.82,   92.21,   96.93
50.27011,19.03371,2013,01,12,    2.77,    2.42,   90.54,   97.54
50.27011,19.03371,2013,01,13,    0.78,    1.86,   87.03,   98.06
50.27011,19.03371,2013,01,14,    4.98,    1.98,   94.01,   97.78
50.27011,19.03371,2013,01,15,    0.57,    2.62,   93.81,   97.31
50.27011,19.03371,2013,01,16,    1.48,    2.73,   94.77,   96.72
50.27011,19.03371,2013,01,17,    0.87,    2.18,   91.27,   96.96
50.27011,19.03371,2013,01,18,    0.75,    1.81,   88.96,   97.04
50.27011,19.03371,2013,01,19,    1.27,    1.54,   88.10,   96.41
50.27011,19.03371,2013,01,20,    1.07,    1.81,   92.19,   96.36
50.27011,19.03371,2013,01,21,    8.86,    2.22,   93.14,   96.07
50.27011,19.03371,2013,01,22,    2.75,    1.61,   88.57,   96.56
50.27011,19.03371,2013,01,23,    2.54,    1.52,   86.67,   97.03
50.27011,19.03371,2013,01,24,    0.07,    1.48,   91.65,   97.31
50.27011,19.03371,2013,01,25,    0.39,    1.53,   90.41,   97.88
50.27011,19.03371,2013,01,26,    0.07,    1.31,   88.42,   97.82
50.27011,19.03371,2013,01,27,    0.12,    1.36,   89.01,   97.38
50.27011,19.03371,2013,01,28,    2.67,    2.49,   95.02,   97.48
50.27011,19.03371,2013,01,29,    1.82,    3.41,   95.60,   97.50
50.27011,19.03371,2013,01,30,    7.25,    4.16,   96.64,   97.07
50.27011,19.03371,2013,01,31,    1.87,    4.09,   91.14,   96.99
50.27011,19.03371,2013,02,01,    0.98,    4.10,   92.10,   96.59
50.27011,19.03371,2013,02,02,    3.83,    4.16,   95.35,   95.47
50.27011,19.03371,2013,02,03,    1.86,    2.93,   88.70,   96.89
50.27011,19.03371,2013,02,04,    1.45,    3.45,   90.04,   96.84
50.27011,19.03371,2013,02,05,    0.57,    4.06,   95.83,   96.57
50.27011,19.03371,2013,02,06,    5.57,    3.42,   92.96,   96.18
50.27011,19.03371,2013,02,07,    4.37,    2.91,   91.41,   96.53
50.27011,19.03371,2013,02,08,    0.17,    2.55,   89.20,   97.18
50.27011,19.03371,2013,02,09,    0.51,    2.38,   88.08,   97.65
50.27011,19.03371,2013,02,10,    1.43,    2.42,   88.99,   97.63
50.27011,19.03371,2013,02,11,    0.18,    2.15,   85.58,   97.36
50.27011,19.03371,2013,02,12,    1.40,    2.35,   88.76,   97.39
50.27011,19.03371,2013,02,13,    1.68,    2.98,   93.14,   97.97
50.27011,19.03371,2013,02,14,    0.53,    3.09,   94.92,   98.35
50.27011,19.03371,2013,02,15,    0.21,    3.17,   93.63,   98.06
50.27011,19.03371,2013,02,16,    0.34,    3.16,   92.96,   98.34
50.27011,19.03371,2013,02,17,    0.28,    2.64,   91.10,   98.52
50.27011,19.03371,2013,02,18,    0.13,    2.39,   85.69,   98.25
50.27011,19.03371,2013,02,19,    3.64,    2.90,   91.65,   97.19
50.27011,19.03371,2013,02,20,    1.73,    2.64,   90.23,   97.43
50.27011,19.03371,2013,02,21,    0.63,    2.05,   87.39,   97.98
50.27011,19.03371,2013,02,22,    1.66,    2.32,   90.57,   97.57
50.27011,19.03371,2013,02,23,    2.59,    3.12,   97.22,   97.18
50.27011,19.03371,2013,02,24,    3.65,    3.90,   95.01,   97.50
50.27011,19.03371,2013,02,25,    0.55,    4.19,   96.58,   98.19
50.27011,19.03371,2013,02,26,    0.39,    3.96,   95.94,   98.72
50.27011,19.03371,2013,02,27,    0.22,    3.66,   92.70,   98.93
50.27011,19.03371,2013,02,28,    0.07,    3.46,   90.65,   98.65
50.27011,19.03371,2013,03,01,    0.48,    3.37,   88.23,   97.92
50.27011,19.03371,2013,03,02,    0.13,    3.12,   86.15,   98.15
50.27011,19.03371,2013,03,03,    0.24,    3.15,   84.52,   97.89
50.27011,19.03371,2013,03,04,    0.01,    2.76,   73.12,   98.59
50.27011,19.03371,2013,03,05,    0.00,    3.06,   73.73,   98.32
50.27011,19.03371,2013,03,06,    0.02,    4.46,   83.39,   97.31
50.27011,19.03371,2013,03,07,    5.50,    5.55,   96.30,   96.79
