,Unnamed: 0,Unnamed: 0.1,index,Date,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,TemperaturePrev,target,Wind_CALM,Wind_E,Wind_ENE,Wind_ESE,Wind_N,Wind_NE,Wind_NNE,Wind_NNW,Wind_NW,Wind_S,Wind_SE,Wind_SSE,Wind_SSW,Wind_SW,Wind_VAR,Wind_W,Wind_WNW,Wind_WSW,Condition_Blowing Snow,Condition_Blowing Snow / Windy,Condition_Cloudy,Condition_Cloudy / Windy,Condition_Drifting Snow,Condition_Drifting Snow / Windy,Condition_Drizzle,Condition_Drizzle / Windy,Condition_Fair,Condition_Fair / Windy,Condition_Fog,Condition_Freezing Drizzle,Condition_Haze,Condition_Heavy Rain Shower,Condition_Heavy Snow,Condition_Heavy Snow Shower,Condition_Heavy Snow Shower / Windy,Condition_Light Drizzle,Condition_Light Drizzle / Windy,Condition_Light Freezing Drizzle,Condition_Light Freezing Rain,Condition_Light Rain,Condition_Light Rain / Windy,Condition_Light Rain Shower,Condition_Light Rain Shower / Windy,Condition_Light Sleet,Condition_Light Snow,Condition_Light Snow / Windy,Condition_Light Snow Grains,Condition_Light Snow Shower,Condition_Light Snow Shower / Windy,Condition_Mist,Condition_Mostly Cloudy,Condition_Mostly Cloudy / Windy,Condition_Partial Fog,Condition_Partly Cloudy,Condition_Partly Cloudy / Windy,Condition_Patches of Fog,Condition_Rain,Condition_Rain Shower,Condition_Rain Shower / Windy,Condition_Rain and Snow,Condition_Rain and Snow / Windy,Condition_Shallow Fog,Condition_Showers in the Vicinity,Condition_Small Hail,Condition_Smoke,Condition_Snow,Condition_Snow / Windy,Condition_Snow Grains,Condition_Snow Shower,Condition_Snow Shower / Windy,Condition_Wintry Mix,Condition_Wintry Mix / Windy
0,0,0,24,2014-01-01,12:00 PM,7.222222222222222,36,71,6,0,29.57,0.0,2.2222222222222223,-4.4444444444444455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,25,2014-01-01,12:30 PM,7.777777777777778,36,66,6,0,29.57,0.0,2.7777777777777777,-5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,26,2014-01-01,1:00 PM,7.777777777777778,34,62,10,0,29.57,0.0,2.7777777777777777,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,27,2014-01-01,1:30 PM,7.777777777777778,34,62,12,0,29.57,0.0,2.7777777777777777,-5.5555555555555545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,28,2014-01-01,2:00 PM,7.222222222222222,34,66,12,0,29.57,0.0,2.7777777777777777,-3.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,29,2014-01-01,2:30 PM,7.222222222222222,34,66,9,0,29.57,0.0,2.7777777777777777,-2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,30,2014-01-01,3:00 PM,7.222222222222222,34,66,8,0,29.57,0.0,2.7777777777777777,-2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,31,2014-01-01,3:30 PM,6.1111111111111125,0,66,5,0,29.57,0.0,2.7777777777777777,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,32,2014-01-01,4:00 PM,5.0,0,70,2,0,29.57,0.0,2.7777777777777777,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,33,2014-01-01,4:30 PM,3.888888888888889,0,75,2,0,29.57,0.0,3.888888888888889,-1.1111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,38,62,2014-01-02,7:00 AM,2.2222222222222223,30,81,8,0,29.43,0.0,3.888888888888889,-2.7777777777777777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,63,2014-01-02,7:30 AM,1.1111111111111112,30,87,9,0,29.43,0.0,2.2222222222222223,-1.1111111111111112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,40,64,2014-01-02,8:00 AM,1.1111111111111112,30,87,7,0,29.43,0.0,2.2222222222222223,-2.2222222222222223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,65,2014-01-02,8:30 AM,1.1111111111111112,30,87,7,0,29.43,0.0,1.1111111111111112,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,42,66,2014-01-02,9:00 AM,2.2222222222222223,30,81,8,0,29.43,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,43,67,2014-01-02,9:30 AM,2.2222222222222223,30,81,9,0,29.4,0.0,-1.1111111111111112,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,44,68,2014-01-02,10:00 AM,2.2222222222222223,0,87,9,0,29.4,0.0,-1.1111111111111112,3.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,69,2014-01-02,10:30 AM,2.7777777777777777,0,81,7,0,29.4,0.0,-1.1111111111111112,3.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,46,70,2014-01-02,11:00 AM,3.888888888888889,0,75,8,0,29.4,0.0,-1.1111111111111112,3.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,47,71,2014-01-02,11:30 AM,5.0,34,76,8,0,29.4,0.0,-2.2222222222222223,4.4444444444444455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,72,2014-01-02,12:00 PM,5.0,34,76,7,0,29.37,0.0,-2.2222222222222223,4.4444444444444455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,73,2014-01-02,12:30 PM,7.222222222222222,34,66,9,0,29.37,0.0,-2.2222222222222223,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,50,74,2014-01-02,1:00 PM,7.222222222222222,34,66,7,0,29.37,0.0,-2.2222222222222223,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,51,75,2014-01-02,1:30 PM,7.222222222222222,34,66,6,0,29.37,0.0,-2.7777777777777777,5.5555555555555545,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,52,76,2014-01-02,2:00 PM,7.222222222222222,34,66,3,0,29.37,0.0,-1.1111111111111112,3.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,53,77,2014-01-02,2:30 PM,7.222222222222222,0,61,2,0,29.37,0.0,0.0,3.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,54,78,2014-01-02,3:00 PM,7.222222222222222,34,66,1,0,29.37,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,55,79,2014-01-02,3:30 PM,3.888888888888889,0,75,5,0,29.37,0.0,2.7777777777777777,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,80,2014-01-02,4:00 PM,5.0,0,70,2,0,29.37,0.0,2.7777777777777777,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,57,81,2014-01-02,4:30 PM,5.0,0,70,2,0,29.4,0.0,2.7777777777777777,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,86,110,2014-01-03,7:00 AM,3.888888888888889,34,81,6,0,29.49,0.0,1.1111111111111112,2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,111,2014-01-03,7:30 AM,3.888888888888889,34,81,8,0,29.52,0.0,1.1111111111111112,3.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,112,2014-01-03,8:00 AM,5.0,34,76,7,0,29.52,0.0,0.0,2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,89,113,2014-01-03,8:30 AM,5.0,34,76,7,0,29.52,0.0,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,90,114,2014-01-03,9:00 AM,5.0,34,76,5,0,29.52,0.0,0.0,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,91,115,2014-01-03,9:30 AM,6.1111111111111125,36,76,3,0,29.55,0.0,1.1111111111111112,1.6666666666666663,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,116,2014-01-03,10:00 AM,6.1111111111111125,36,76,6,0,29.55,0.0,2.2222222222222223,0.5555555555555554,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,117,2014-01-03,10:30 AM,7.222222222222222,36,71,6,0,29.55,0.0,2.2222222222222223,0.5555555555555554,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,94,118,2014-01-03,11:00 AM,7.777777777777778,37,71,8,0,29.55,0.0,2.2222222222222223,1.6666666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,95,119,2014-01-03,11:30 AM,7.777777777777778,37,71,8,0,29.55,0.0,2.2222222222222223,2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,96,120,2014-01-03,12:00 PM,8.888888888888891,37,66,8,0,29.52,0.0,2.2222222222222223,3.8888888888888884,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,97,121,2014-01-03,12:30 PM,8.888888888888891,37,66,8,0,29.52,0.0,2.7777777777777777,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,98,122,2014-01-03,1:00 PM,10.0,37,62,8,0,29.52,0.0,2.7777777777777777,3.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
