-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 01/01/2021 
Location: Latitude  50.0837   Longitude 14.4963 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 337.97 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
50.08371,14.49631,2013,01,01,    0.33,    3.84,   93.70,   96.94
50.08371,14.49631,2013,01,02,    0.23,    3.92,   96.12,   97.95
50.08371,14.49631,2013,01,03,    2.19,    4.16,   94.96,   98.62
50.08371,14.49631,2013,01,04,    7.05,    5.57,   93.64,   98.54
50.08371,14.49631,2013,01,05,    5.33,    5.31,   95.82,   98.39
50.08371,14.49631,2013,01,06,    3.95,    4.96,   96.04,   98.21
50.08371,14.49631,2013,01,07,    3.28,    4.34,   93.89,   98.47
50.08371,14.49631,2013,01,08,    3.24,    4.41,   97.67,   98.24
50.08371,14.49631,2013,01,09,    1.43,    4.73,   96.41,   97.79
50.08371,14.49631,2013,01,10,    2.79,    3.93,   91.59,   96.78
50.08371,14.49631,2013,01,11,    1.24,    2.72,   85.40,   97.05
50.08371,14.49631,2013,01,12,    0.39,    2.45,   80.82,   97.57
50.08371,14.49631,2013,01,13,    0.28,    2.37,   84.43,   97.66
50.08371,14.49631,2013,01,14,    2.62,    2.33,   91.03,   97.31
50.08371,14.49631,2013,01,15,    0.61,    2.58,   92.92,   96.83
50.08371,14.49631,2013,01,16,    0.70,    2.58,   89.74,   96.62
50.08371,14.49631,2013,01,17,    3.02,    2.37,   86.93,   96.90
50.08371,14.49631,2013,01,18,    0.69,    1.88,   80.64,   96.90
50.08371,14.49631,2013,01,19,    0.20,    1.84,   83.18,   96.12
50.08371,14.49631,2013,01,20,    1.73,    2.13,   87.30,   95.86
50.08371,14.49631,2013,01,21,    2.70,    2.24,   87.23,   95.81
50.08371,14.49631,2013,01,22,    0.19,    1.81,   84.83,   96.41
50.08371,14.49631,2013,01,23,    0.10,    1.85,   85.35,   96.74
50.08371,14.49631,2013,01,24,    0.36,    1.97,   89.08,   97.01
50.08371,14.49631,2013,01,25,    0.18,    1.63,   87.41,   97.74
50.08371,14.49631,2013,01,26,    0.08,    1.39,   87.67,   97.44
50.08371,14.49631,2013,01,27,    1.67,    2.39,   95.10,   96.90
50.08371,14.49631,2013,01,28,    1.05,    3.26,   97.09,   97.23
50.08371,14.49631,2013,01,29,    5.34,    3.99,   93.92,   97.16
50.08371,14.49631,2013,01,30,    4.93,    5.25,   96.34,   96.85
50.08371,14.49631,2013,01,31,    1.53,    4.32,   85.12,   97.01
50.08371,14.49631,2013,02,01,    4.32,    4.44,   91.10,   96.32
50.08371,14.49631,2013,02,02,    1.86,    3.78,   92.40,   95.49
50.08371,14.49631,2013,02,03,    1.42,    2.95,   83.82,   96.98
50.08371,14.49631,2013,02,04,    3.11,    3.87,   92.14,   96.63
50.08371,14.49631,2013,02,05,    1.37,    4.12,   95.06,   96.18
50.08371,14.49631,2013,02,06,    0.72,    2.91,   76.11,   95.90
50.08371,14.49631,2013,02,07,    0.31,    2.86,   82.36,   96.47
50.08371,14.49631,2013,02,08,    0.43,    2.80,   85.73,   97.00
50.08371,14.49631,2013,02,09,    0.45,    2.53,   86.38,   97.44
50.08371,14.49631,2013,02,10,    0.11,    2.31,   84.43,   97.45
50.08371,14.49631,2013,02,11,    0.13,    2.37,   86.05,   96.79
50.08371,14.49631,2013,02,12,    4.42,    2.66,   90.71,   96.84
50.08371,14.49631,2013,02,13,    0.46,    2.53,   90.41,   97.89
50.08371,14.49631,2013,02,14,    0.10,    2.71,   92.15,   98.18
50.08371,14.49631,2013,02,15,    0.63,    2.99,   90.68,   97.74
50.08371,14.49631,2013,02,16,    1.55,    3.16,   90.12,   98.13
50.08371,14.49631,2013,02,17,    0.82,    3.24,   91.25,   98.23
50.08371,14.49631,2013,02,18,    0.17,    2.88,   83.91,   97.99
50.08371,14.49631,2013,02,19,    3.92,    3.10,   91.20,   97.18
50.08371,14.49631,2013,02,20,    1.69,    2.65,   88.67,   97.62
50.08371,14.49631,2013,02,21,    0.68,    2.13,   86.87,   97.83
50.08371,14.49631,2013,02,22,    2.49,    2.08,   87.95,   97.32
50.08371,14.49631,2013,02,23,    7.54,    2.60,   93.28,   96.78
50.08371,14.49631,2013,02,24,    7.39,    3.28,   94.81,   96.98
50.08371,14.49631,2013,02,25,    3.64,    3.78,   96.49,   97.74
50.08371,14.49631,2013,02,26,    0.22,    3.63,   96.13,   98.56
