LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
51.10751,16.99641,2013,12,31,    0.05,    3.70,  100.00,  100.27
51.10751,16.99641,2014,01,01,    0.01,    3.60,   93.74,   99.57
51.10751,16.99641,2014,01,02,    0.21,    3.66,   93.68,   98.99
51.10751,16.99641,2014,01,03,    0.21,    4.25,   96.59,   99.19
51.10751,16.99641,2014,01,04,    6.10,    4.53,   93.94,   99.11
51.10751,16.99641,2014,01,05,    4.73,    5.07,   95.68,   98.54
51.10751,16.99641,2014,01,06,    0.10,    4.42,   91.70,   99.47
51.10751,16.99641,2014,01,07,    0.68,    4.80,   91.51,   99.63
51.10751,16.99641,2014,01,08,    0.19,    5.15,   92.25,   99.78
51.10751,16.99641,2014,01,09,    0.42,    5.04,   87.75,   99.09
51.10751,16.99641,2014,01,10,    0.39,    4.49,   82.94,   98.96
51.10751,16.99641,2014,01,11,    1.05,    4.05,   88.81,   99.36
51.10751,16.99641,2014,01,12,    0.77,    3.91,   86.54,   99.57
51.10751,16.99641,2014,01,13,    0.10,    3.30,   88.01,   99.47
51.10751,16.99641,2014,01,14,    2.94,    3.93,   93.58,   98.82
51.10751,16.99641,2014,01,15,    3.25,    3.66,   96.06,   98.89
51.10751,16.99641,2014,01,16,    0.52,    3.71,   96.23,   98.92
51.10751,16.99641,2014,01,17,    1.98,    4.19,   95.78,   98.56
51.10751,16.99641,2014,01,18,    0.26,    4.04,   96.05,   98.94
51.10751,16.99641,2014,01,19,    0.61,    4.43,   95.17,   98.59
51.10751,16.99641,2014,01,20,    4.72,    3.79,   94.26,   98.44
51.10751,16.99641,2014,01,21,    3.08,    2.58,   86.41,   98.87
51.10751,16.99641,2014,01,22,    0.42,    1.88,   77.72,   99.52
51.10751,16.99641,2014,01,23,    0.03,    1.68,   80.19,   99.90
51.10751,16.99641,2014,01,24,    0.21,    1.56,   82.72,   99.83
51.10751,16.99641,2014,01,25,    0.03,    1.02,   71.34,  100.13
