Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2017-01-01,12:20 AM,23,21,93,S,8,0,29.47,0.0,Fair
2017-01-01,12:50 AM,23,21,93,S,7,0,29.47,0.0,Smoke
2017-01-01,1:20 AM,23,21,93,S,5,0,29.44,0.0,Smoke
2017-01-01,1:50 AM,23,21,93,S,6,0,29.44,0.0,Smoke
2017-01-01,2:20 AM,23,21,93,S,7,0,29.44,0.0,Smoke
2017-01-01,2:50 AM,21,19,93,S,7,0,29.41,0.0,Fair
2017-01-01,3:20 AM,21,19,93,S,8,0,29.41,0.0,Fair
2017-01-01,3:50 AM,21,19,93,S,7,0,29.38,0.0,Fair
2017-01-01,4:20 AM,21,19,93,S,7,0,29.38,0.0,Fair
2017-01-01,4:50 AM,21,19,93,S,12,0,29.38,0.0,Fair
2017-01-01,5:20 AM,21,19,93,S,10,0,29.38,0.0,Fair
2017-01-01,5:50 AM,21,19,93,SSW,8,0,29.35,0.0,Fair
2017-01-01,6:20 AM,21,19,93,SSW,7,0,29.35,0.0,Fair
2017-01-01,6:50 AM,21,18,86,S,7,0,29.35,0.0,Fair
2017-01-01,7:20 AM,21,19,93,S,5,0,29.32,0.0,Fair
2017-01-01,7:50 AM,21,18,86,S,8,0,29.32,0.0,Fair
2017-01-01,8:20 AM,21,18,86,S,10,0,29.32,0.0,Fair
2017-01-01,8:50 AM,21,19,93,S,8,0,29.32,0.0,Fair
2017-01-01,9:20 AM,23,19,86,S,7,0,29.29,0.0,Fair
2017-01-01,9:50 AM,25,21,86,S,7,0,29.29,0.0,Fair
2017-01-01,10:20 AM,27,21,80,S,6,0,29.29,0.0,Fair
2017-01-01,10:50 AM,28,21,74,SSW,6,0,29.26,0.0,Fair
2017-01-01,11:20 AM,30,23,75,S,5,0,29.26,0.0,Fair
2017-01-01,11:50 AM,32,23,69,SSW,5,0,29.26,0.0,Fair
2017-01-01,12:20 PM,32,23,69,SSW,6,0,29.24,0.0,Fair
2017-01-01,12:50 PM,34,21,60,SW,6,0,29.24,0.0,Fair
2017-01-01,1:20 PM,34,23,65,SSW,6,0,29.24,0.0,Fair
2017-01-01,1:50 PM,34,23,65,SSW,7,0,29.24,0.0,Fair
2017-01-01,2:20 PM,36,23,60,SSW,5,0,29.24,0.0,Fair
2017-01-01,2:50 PM,34,23,65,SSW,7,0,29.24,0.0,Fair
2017-01-01,3:20 PM,32,23,69,S,5,0,29.24,0.0,Fair
2017-01-01,3:50 PM,30,23,75,S,6,0,29.24,0.0,Fair
2017-01-01,4:20 PM,28,23,80,S,7,0,29.24,0.0,Fair
2017-01-01,4:50 PM,27,21,80,SSW,7,0,29.21,0.0,Fair
2017-01-01,5:20 PM,27,21,80,S,7,0,29.21,0.0,Fair
2017-01-01,5:50 PM,27,21,80,S,7,0,29.21,0.0,Fair
2017-01-01,6:20 PM,25,21,86,SSW,7,0,29.21,0.0,Fair
2017-01-01,6:50 PM,25,21,86,S,7,0,29.21,0.0,Fair
2017-01-01,7:20 PM,25,19,80,S,5,0,29.18,0.0,Fair
2017-01-01,7:50 PM,23,19,86,S,5,0,29.18,0.0,Fair
2017-01-01,8:20 PM,23,19,86,SSW,6,0,29.18,0.0,Fair
2017-01-01,8:50 PM,23,19,86,S,5,0,29.18,0.0,Fair
2017-01-01,9:20 PM,23,19,86,SSW,7,0,29.18,0.0,Fair
2017-01-01,9:50 PM,23,19,86,SSW,7,0,29.18,0.0,Fair
2017-01-01,10:20 PM,23,19,86,SSW,8,0,29.18,0.0,Fair
2017-01-01,10:50 PM,23,19,86,SSW,8,0,29.18,0.0,Fair
2017-01-01,11:20 PM,21,19,93,SW,9,0,29.18,0.0,Fair
2017-01-01,11:50 PM,23,19,86,SW,8,0,29.18,0.0,Fair
2017-01-02,12:20 AM,25,19,80,WSW,7,0,29.18,0.0,Fair
2017-01-02,12:50 AM,28,21,74,WSW,8,0,29.18,0.0,Fair
2017-01-02,1:20 AM,30,21,69,W,8,0,29.18,0.0,Fair
2017-01-02,1:50 AM,30,23,75,WSW,9,0,29.18,0.0,Partly Cloudy
2017-01-02,2:20 AM,30,23,75,WSW,7,0,29.18,0.0,Mostly Cloudy
2017-01-02,2:50 AM,32,25,75,W,7,0,29.18,0.0,Mostly Cloudy
2017-01-02,3:20 AM,32,27,80,W,6,0,29.18,0.0,Mostly Cloudy
2017-01-02,3:50 AM,32,28,87,W,8,0,29.18,0.0,Cloudy
2017-01-02,4:20 AM,32,28,87,W,9,0,29.15,0.0,Cloudy
2017-01-02,4:50 AM,32,28,87,W,10,0,29.15,0.0,Cloudy
2017-01-02,5:20 AM,32,30,93,W,9,0,29.15,0.0,Light Snow
2017-01-02,5:50 AM,32,30,93,W,10,0,29.15,0.0,Light Snow
2017-01-02,6:20 AM,30,30,100,W,8,0,29.15,0.0,Light Snow
2017-01-02,6:50 AM,30,30,100,W,8,0,29.15,0.0,Light Snow
2017-01-02,7:20 AM,30,28,93,WSW,9,0,29.15,0.0,Light Snow
2017-01-02,7:50 AM,30,28,93,WSW,10,0,29.15,0.0,Snow
2017-01-02,8:20 AM,30,28,93,W,10,0,29.18,0.0,Light Snow
2017-01-02,8:50 AM,30,28,93,WSW,10,0,29.18,0.0,Snow
2017-01-02,9:20 AM,30,28,93,W,8,0,29.18,0.0,Light Snow
2017-01-02,9:50 AM,30,30,100,WSW,8,0,29.18,0.0,Light Snow
2017-01-02,10:20 AM,30,30,100,WSW,8,0,29.18,0.0,Light Snow
2017-01-02,10:50 AM,30,28,93,W,10,0,29.18,0.0,Light Snow
2017-01-02,11:20 AM,30,28,93,W,12,0,29.18,0.0,Light Snow
2017-01-02,11:50 AM,30,30,100,W,12,0,29.18,0.0,Light Snow
2017-01-02,12:20 PM,30,30,100,W,10,0,29.18,0.0,Light Snow
2017-01-02,12:50 PM,30,30,100,W,10,0,29.18,0.0,Mostly Cloudy
2017-01-02,1:20 PM,30,30,100,W,10,0,29.18,0.0,Cloudy
2017-01-02,1:50 PM,32,30,93,W,9,0,29.18,0.0,Cloudy
2017-01-02,2:20 PM,32,30,93,W,9,0,29.18,0.0,Cloudy
2017-01-02,2:50 PM,32,30,93,W,10,0,29.18,0.0,Light Snow
2017-01-02,3:20 PM,32,30,93,WNW,10,0,29.21,0.0,Light Snow
2017-01-02,3:50 PM,32,30,93,WNW,10,0,29.21,0.0,Mostly Cloudy
2017-01-02,4:20 PM,32,30,93,W,9,0,29.21,0.0,Mostly Cloudy
2017-01-02,4:50 PM,32,30,93,W,8,0,29.21,0.0,Mostly Cloudy
2017-01-02,5:20 PM,32,30,93,WNW,9,0,29.24,0.0,Mostly Cloudy
2017-01-02,5:50 PM,32,30,93,WNW,8,0,29.24,0.0,Light Snow
2017-01-02,6:20 PM,32,30,93,W,9,0,29.24,0.0,Mostly Cloudy
2017-01-02,6:50 PM,32,30,93,W,9,0,29.24,0.0,Light Snow Grains
2017-01-02,7:20 PM,32,30,93,WNW,9,0,29.26,0.0,Mostly Cloudy
2017-01-02,7:50 PM,32,30,93,WNW,10,0,29.26,0.0,Mostly Cloudy
2017-01-02,8:20 PM,32,30,93,WNW,8,0,29.29,0.0,Mostly Cloudy
2017-01-02,8:50 PM,32,30,93,WNW,9,0,29.29,0.0,Mostly Cloudy
2017-01-02,9:20 PM,32,30,93,W,7,0,29.29,0.0,Mostly Cloudy
2017-01-02,9:50 PM,30,28,93,W,7,0,29.29,0.0,Mostly Cloudy
2017-01-02,10:20 PM,30,28,93,W,6,0,29.32,0.0,Mostly Cloudy
2017-01-02,10:50 PM,30,28,93,WSW,6,0,29.32,0.0,Mostly Cloudy
2017-01-02,11:20 PM,30,27,86,WSW,7,0,29.29,0.0,Mostly Cloudy
2017-01-02,11:50 PM,30,27,86,WSW,8,0,29.29,0.0,Mostly Cloudy
2017-01-03,12:20 AM,30,27,86,WSW,10,0,29.29,0.0,Mostly Cloudy
2017-01-03,12:50 AM,30,27,86,WSW,9,0,29.29,0.0,Mostly Cloudy
2017-01-03,1:20 AM,30,27,86,WSW,10,0,29.29,0.0,Mostly Cloudy
2017-01-03,1:50 AM,30,28,93,WSW,12,0,29.29,0.0,Light Snow
2017-01-03,2:20 AM,30,28,93,WSW,12,0,29.29,0.0,Light Snow
2017-01-03,2:50 AM,30,28,93,WSW,15,0,29.29,0.0,Light Snow
2017-01-03,3:20 AM,32,30,93,WSW,14,0,29.29,0.0,Light Snow
2017-01-03,3:50 AM,32,30,93,W,14,0,29.29,0.0,Light Snow
2017-01-03,4:20 AM,32,30,93,W,15,0,29.26,0.0,Light Snow
2017-01-03,4:50 AM,32,30,93,W,14,0,29.26,0.0,Light Snow
2017-01-03,5:20 AM,32,30,93,W,14,0,29.26,0.0,Light Snow
2017-01-03,5:50 AM,32,30,93,W,13,0,29.26,0.0,Light Snow
2017-01-03,6:20 AM,32,30,93,W,14,0,29.26,0.0,Light Snow
2017-01-03,6:50 AM,32,30,93,WSW,13,0,29.26,0.0,Light Snow
2017-01-03,7:20 AM,32,30,93,W,12,0,29.26,0.0,Light Snow
2017-01-03,7:50 AM,32,32,100,W,13,0,29.26,0.0,Light Snow
2017-01-03,8:20 AM,32,32,100,W,12,0,29.26,0.0,Light Snow
2017-01-03,8:50 AM,34,32,93,W,14,0,29.26,0.0,Light Snow
2017-01-03,9:20 AM,34,32,93,W,14,0,29.26,0.0,Light Snow
2017-01-03,9:50 AM,34,32,93,W,13,0,29.29,0.0,Light Snow
2017-01-03,10:20 AM,34,32,93,W,13,0,29.29,0.0,Light Snow
2017-01-03,10:50 AM,36,30,81,W,17,0,29.29,0.0,Cloudy
2017-01-03,11:20 AM,36,30,81,W,15,0,29.26,0.0,Cloudy
2017-01-03,11:50 AM,36,28,75,W,14,0,29.26,0.0,Light Snow
2017-01-03,12:20 PM,36,28,75,W,15,0,29.26,0.0,Mostly Cloudy
2017-01-03,12:50 PM,36,28,75,WSW,17,0,29.24,0.0,Mostly Cloudy
2017-01-03,1:20 PM,36,28,75,W,17,0,29.24,0.0,Mostly Cloudy
2017-01-03,1:50 PM,36,28,75,W,15,28,29.24,0.0,Light Snow
2017-01-03,2:20 PM,36,30,81,W,15,0,29.24,0.0,Light Snow
2017-01-03,2:50 PM,34,30,87,W,14,0,29.21,0.0,Light Snow
2017-01-03,3:20 PM,34,32,93,WSW,15,28,29.21,0.0,Light Snow
2017-01-03,3:50 PM,34,32,93,WSW,14,0,29.21,0.0,Wintry Mix
2017-01-03,4:20 PM,34,32,93,WSW,14,0,29.18,0.0,Wintry Mix
2017-01-03,4:50 PM,34,32,93,WSW,16,0,29.18,0.0,Light Rain
2017-01-03,5:20 PM,34,32,93,WSW,14,0,29.18,0.0,Light Rain
2017-01-03,5:50 PM,34,32,93,WSW,17,30,29.15,0.0,Light Rain
2017-01-03,6:20 PM,34,30,87,WSW,15,30,29.15,0.0,Light Rain
2017-01-03,6:50 PM,34,32,93,WSW,17,30,29.12,0.0,Wintry Mix
2017-01-03,7:20 PM,34,32,93,WSW,18,32,29.12,0.0,Wintry Mix
2017-01-03,7:50 PM,34,32,93,WSW,16,30,29.09,0.0,Light Snow
2017-01-03,8:20 PM,34,32,93,WSW,20,0,29.09,0.0,Light Snow
2017-01-03,8:50 PM,34,32,93,WSW,17,29,29.06,0.0,Light Snow
2017-01-03,9:20 PM,34,32,93,WSW,21,32,29.06,0.0,Light Snow / Windy
2017-01-03,9:50 PM,34,32,93,WSW,18,31,29.03,0.0,Light Snow
2017-01-03,10:20 PM,32,32,100,WSW,20,32,29.01,0.0,Light Snow
2017-01-03,10:50 PM,32,32,100,WSW,20,38,29.01,0.0,Light Snow
2017-01-03,11:20 PM,34,32,93,WSW,21,37,28.98,0.0,Light Snow / Windy
2017-01-03,11:50 PM,32,32,100,WSW,22,36,28.95,0.0,Light Snow / Windy
2017-01-04,12:20 AM,34,32,93,WSW,21,35,28.95,0.0,Light Snow / Windy
2017-01-04,12:50 AM,34,32,93,WSW,20,33,28.92,0.0,Light Snow
2017-01-04,1:20 AM,34,32,93,WSW,23,37,28.92,0.0,Light Snow / Windy
2017-01-04,1:50 AM,34,32,93,WSW,21,35,28.89,0.0,Light Snow / Windy
2017-01-04,2:20 AM,34,32,93,WSW,21,33,28.89,0.0,Light Snow / Windy
2017-01-04,2:50 AM,34,32,93,WSW,23,39,28.86,0.0,Light Snow / Windy
2017-01-04,3:20 AM,34,32,93,WSW,21,35,28.86,0.0,Light Snow / Windy
2017-01-04,3:50 AM,34,32,93,W,20,36,28.83,0.0,Light Snow
2017-01-04,4:20 AM,36,32,87,W,21,37,28.83,0.0,Light Rain / Windy
2017-01-04,4:50 AM,36,32,87,WSW,22,38,28.80,0.0,Wintry Mix / Windy
2017-01-04,5:20 AM,36,32,87,WSW,21,35,28.78,0.0,Light Rain / Windy
2017-01-04,5:50 AM,36,32,87,W,24,39,28.78,0.0,Light Rain / Windy
2017-01-04,6:20 AM,36,32,87,W,21,37,28.78,0.0,Light Rain / Windy
2017-01-04,6:50 AM,34,32,93,W,21,32,28.80,0.0,Light Rain / Windy
2017-01-04,7:20 AM,34,32,93,W,15,26,28.78,0.0,Mostly Cloudy
2017-01-04,7:50 AM,34,32,93,W,14,0,28.78,0.0,Wintry Mix
2017-01-04,8:20 AM,36,34,93,W,18,30,28.78,0.0,Wintry Mix
2017-01-04,8:50 AM,36,32,87,W,15,0,28.78,0.0,Mostly Cloudy
2017-01-04,9:20 AM,36,32,87,W,15,28,28.78,0.0,Mostly Cloudy
2017-01-04,9:50 AM,37,32,81,W,17,29,28.78,0.0,Mostly Cloudy
2017-01-04,10:20 AM,37,32,81,W,18,31,28.75,0.0,Mostly Cloudy
2017-01-04,10:50 AM,37,32,81,W,18,33,28.78,0.0,Mostly Cloudy
2017-01-04,11:20 AM,37,30,75,W,18,31,28.78,0.0,Mostly Cloudy
2017-01-04,11:50 AM,37,30,75,W,18,33,28.75,0.0,Mostly Cloudy
2017-01-04,12:20 PM,37,30,75,W,18,31,28.75,0.0,Mostly Cloudy
