Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2018-01-01,12:00 AM,45,39,81,SSW,14,0,28.68,0.0,Fair
2018-01-01,12:30 AM,46,39,76,SSW,15,0,28.65,0.0,Fair
2018-01-01,1:00 AM,45,39,81,SW,13,0,28.65,0.0,Fair
2018-01-01,1:30 AM,43,37,81,SSW,12,0,28.65,0.0,Fair
2018-01-01,2:00 AM,41,37,87,S,8,0,28.65,0.0,Fair
2018-01-01,2:30 AM,43,39,87,SSW,10,0,28.65,0.0,Mostly Cloudy
2018-01-01,3:00 AM,41,37,87,S,8,0,28.65,0.0,Fair
2018-01-01,3:30 AM,41,36,81,S,7,0,28.63,0.0,Fair
2018-01-01,4:00 AM,41,36,81,S,8,0,28.63,0.0,Fair
2018-01-01,4:30 AM,41,37,87,SSW,12,0,28.63,0.0,Fair
2018-01-01,5:00 AM,43,37,81,SW,13,0,28.63,0.0,Fair
2018-01-01,5:30 AM,41,36,81,SW,9,0,28.63,0.0,Fair
2018-01-01,6:00 AM,41,36,81,SSW,7,0,28.63,0.0,Fair
2018-01-01,6:30 AM,41,36,81,SSW,8,0,28.63,0.0,Fair
2018-01-01,7:00 AM,41,36,81,SSW,8,0,28.63,0.0,Fair
2018-01-01,7:30 AM,41,36,81,SSW,10,0,28.63,0.0,Fair
2018-01-01,8:00 AM,41,36,81,SSW,10,0,28.63,0.0,Fair
2018-01-01,8:30 AM,41,36,81,SW,15,0,28.65,0.0,Fair
2018-01-01,9:00 AM,41,36,81,SW,16,0,28.65,0.0,Fair
2018-01-01,9:30 AM,43,37,81,SW,17,0,28.65,0.0,Fair
2018-01-01,10:00 AM,43,37,81,SSW,16,0,28.65,0.0,Fair
2018-01-01,10:30 AM,43,37,81,SSW,10,0,28.65,0.0,Fair
2018-01-01,11:00 AM,43,37,81,SSW,12,0,28.68,0.0,Fair
2018-01-01,11:30 AM,43,37,81,SSW,14,0,28.68,0.0,Fair
2018-01-01,12:00 PM,43,37,81,SSW,16,0,28.65,0.0,Fair
2018-01-01,12:30 PM,43,37,81,SW,16,0,28.68,0.0,Fair
2018-01-01,1:00 PM,43,37,81,SW,15,0,28.68,0.0,Fair
2018-01-01,1:30 PM,43,37,81,SSW,14,0,28.68,0.0,Light Rain
2018-01-01,2:00 PM,43,37,81,SSW,12,0,28.65,0.0,Fair
2018-01-01,2:30 PM,43,37,81,SSW,12,0,28.65,0.0,Fair
2018-01-01,3:00 PM,41,37,87,SSW,13,0,28.65,0.0,Fair
2018-01-01,3:30 PM,43,37,81,SSW,12,0,28.65,0.0,Fair
2018-01-01,4:00 PM,41,37,87,SSW,10,0,28.65,0.0,Fair
2018-01-01,4:30 PM,41,37,87,SSW,9,0,28.65,0.0,Fair
2018-01-01,5:00 PM,41,36,81,SSW,10,0,28.65,0.0,Fair
