Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2016-01-01,12:00 AM,23,14,68,ESE,6,0,29.97,0.0,Fair
2016-01-01,12:30 AM,23,14,68,ESE,5,0,29.97,0.0,Fair
2016-01-01,1:00 AM,23,14,68,SE,5,0,29.97,0.0,Fair
2016-01-01,1:30 AM,21,14,74,ESE,3,0,29.97,0.0,Fair
2016-01-01,2:00 AM,21,14,74,ESE,3,0,29.97,0.0,Fair
2016-01-01,2:30 AM,21,14,74,ESE,5,0,29.94,0.0,Partly Cloudy
2016-01-01,3:00 AM,23,14,68,ESE,2,0,29.94,0.0,Mostly Cloudy
2016-01-01,3:30 AM,23,14,68,SE,3,0,29.94,0.0,Mostly Cloudy
2016-01-01,4:00 AM,25,14,64,SE,3,0,29.94,0.0,Cloudy
2016-01-01,4:30 AM,25,14,64,ESE,5,0,29.94,0.0,Cloudy
2016-01-01,5:00 AM,25,16,69,ESE,5,0,29.94,0.0,Cloudy
2016-01-01,5:30 AM,25,16,69,SE,3,0,29.94,0.0,Cloudy
2016-01-01,6:00 AM,25,16,69,SE,3,0,29.94,0.0,Cloudy
2016-01-01,6:30 AM,25,16,69,ESE,3,0,29.94,0.0,Cloudy
2016-01-01,7:00 AM,25,18,74,ESE,3,0,29.94,0.0,Cloudy
2016-01-01,7:30 AM,25,18,74,SE,3,0,29.94,0.0,Cloudy
2016-01-01,8:00 AM,27,18,69,ESE,3,0,29.97,0.0,Cloudy
2016-01-01,8:30 AM,27,18,69,SE,2,0,29.97,0.0,Cloudy
2016-01-01,9:00 AM,27,19,74,E,5,0,29.97,0.0,Light Snow
2016-01-01,9:30 AM,27,21,80,ESE,3,0,29.97,0.0,Light Snow
2016-01-01,10:00 AM,25,21,86,ESE,5,0,29.97,0.0,Light Snow
2016-01-01,10:30 AM,25,23,93,ESE,5,0,29.97,0.0,Light Snow
2016-01-01,11:00 AM,25,23,93,ESE,5,0,29.97,0.0,Light Snow
2016-01-01,11:30 AM,27,23,86,ESE,5,0,29.97,0.0,Light Snow
2016-01-01,12:00 PM,27,23,86,ESE,3,0,29.97,0.0,Light Snow
2016-01-01,12:30 PM,27,25,93,E,3,0,29.97,0.0,Light Snow
2016-01-01,1:00 PM,27,25,93,E,6,0,29.94,0.0,Light Snow
2016-01-01,1:30 PM,27,25,93,E,6,0,29.94,0.0,Light Snow
2016-01-01,2:00 PM,27,25,93,E,7,0,29.94,0.0,Light Snow
2016-01-01,2:30 PM,27,25,93,E,7,0,29.97,0.0,Light Snow
2016-01-01,3:00 PM,27,25,93,E,8,0,29.97,0.0,Light Snow
2016-01-01,3:30 PM,27,25,93,E,7,0,29.97,0.0,Light Snow
2016-01-01,4:00 PM,27,23,86,E,8,0,29.97,0.0,Light Snow
2016-01-01,4:30 PM,27,23,86,E,9,0,29.97,0.0,Mist
2016-01-01,5:00 PM,27,23,86,E,8,0,29.97,0.0,Light Snow
2016-01-01,5:30 PM,25,23,93,ESE,9,0,29.97,0.0,Light Snow
2016-01-01,6:00 PM,27,23,86,ESE,7,0,29.97,0.0,Light Snow
2016-01-01,6:30 PM,25,23,93,E,8,0,29.97,0.0,Snow
2016-01-01,7:00 PM,25,23,93,E,10,0,29.97,0.0,Light Snow
2016-01-01,7:30 PM,25,21,86,E,10,0,29.97,0.0,Light Snow
