Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2017-01-01,12:00 AM,21,19,93,VAR,2,0,28.99,0.0,Fog
2017-01-01,12:30 AM,21,19,93,VAR,2,0,28.99,0.0,Fog
2017-01-01,1:00 AM,21,19,93,VAR,2,0,28.97,0.0,Fog
2017-01-01,1:30 AM,19,18,93,SE,3,0,28.97,0.0,Fog
2017-01-01,2:00 AM,19,18,93,SSE,3,0,28.97,0.0,Fog
2017-01-01,2:30 AM,19,18,93,ESE,3,0,28.97,0.0,Fog
2017-01-01,3:00 AM,19,18,93,E,3,0,28.94,0.0,Fog
2017-01-01,3:30 AM,19,18,93,VAR,1,0,28.94,0.0,Fog
2017-01-01,4:00 AM,19,18,93,ESE,3,0,28.94,0.0,Fog
2017-01-01,4:30 AM,18,16,93,VAR,2,0,28.91,0.0,Fog
2017-01-01,5:00 AM,18,16,93,VAR,2,0,28.91,0.0,Fog
2017-01-01,5:30 AM,18,16,93,VAR,1,0,28.91,0.0,Fog
2017-01-01,6:00 AM,18,16,93,VAR,2,0,28.91,0.0,Fog
2017-01-01,6:30 AM,18,16,93,CALM,0,0,28.88,0.0,Fog
2017-01-01,6:52 AM,18,16,93,VAR,2,0,28.88,0.0,Fog
2017-01-01,7:00 AM,16,14,93,VAR,1,0,28.88,0.0,Fog
2017-01-01,7:30 AM,16,14,93,SE,3,0,28.88,0.0,Fog
2017-01-01,8:00 AM,16,14,93,VAR,2,0,28.88,0.0,Fog
2017-01-01,8:05 AM,16,14,93,VAR,2,0,28.88,0.0,Fog
2017-01-01,8:16 AM,16,14,93,VAR,2,0,28.88,0.0,Fog
2017-01-01,8:30 AM,16,14,93,VAR,2,0,28.88,0.0,Fog
2017-01-01,9:00 AM,18,16,93,ENE,3,0,28.85,0.0,Fog
2017-01-01,9:30 AM,18,16,93,VAR,2,0,28.85,0.0,Fog
2017-01-01,9:53 AM,19,16,86,ESE,3,0,28.85,0.0,Fog
2017-01-01,10:00 AM,19,18,93,ESE,3,0,28.85,0.0,Fog
2017-01-01,10:07 AM,19,18,93,ESE,3,0,28.85,0.0,Fog
2017-01-01,10:14 AM,19,18,93,ESE,3,0,28.85,0.0,Fog
2017-01-01,10:30 AM,19,18,93,SE,5,0,28.85,0.0,Fog
2017-01-01,10:42 AM,21,19,93,ESE,5,0,28.85,0.0,Fog
2017-01-01,10:50 AM,21,19,93,ESE,3,0,28.85,0.0,Fog
2017-01-01,11:00 AM,21,19,93,VAR,2,0,28.85,0.0,Mist
2017-01-01,11:22 AM,23,21,93,ESE,5,0,28.83,0.0,Mist
2017-01-01,11:30 AM,23,21,93,ESE,5,0,28.83,0.0,Mist
2017-01-01,12:00 PM,23,23,100,ESE,2,0,28.83,0.0,Mist
2017-01-01,12:30 PM,25,23,93,SSE,2,0,28.80,0.0,Mist
2017-01-01,1:00 PM,27,25,93,SE,3,0,28.80,0.0,Mist
2017-01-01,1:30 PM,28,27,93,VAR,2,0,28.77,0.0,Mist
2017-01-01,2:00 PM,28,27,93,VAR,2,0,28.77,0.0,Mist
2017-01-01,2:06 PM,28,27,93,NE,3,0,28.77,0.0,Mist
2017-01-01,2:30 PM,28,27,93,E,6,0,28.77,0.0,Mist
2017-01-01,3:00 PM,27,25,93,NNE,5,0,28.77,0.0,Mist
2017-01-01,3:19 PM,25,23,93,N,6,0,28.77,0.0,Mist
2017-01-01,3:23 PM,25,23,93,NNE,6,0,28.77,0.0,Mist
2017-01-01,3:30 PM,25,23,93,NNE,5,0,28.77,0.0,Mist
2017-01-01,3:38 PM,23,23,100,NNE,5,0,28.77,0.0,Mist
2017-01-01,3:45 PM,23,21,93,NNE,3,0,28.77,0.0,Fog
2017-01-01,3:55 PM,23,21,93,VAR,2,0,28.77,0.0,Fog
2017-01-01,4:00 PM,23,21,93,VAR,1,0,28.77,0.0,Fog
2017-01-01,4:08 PM,23,21,93,VAR,1,0,28.77,0.0,Fog
2017-01-01,4:30 PM,23,21,93,NE,3,0,28.77,0.0,Fog
2017-01-01,5:00 PM,21,19,93,VAR,2,0,28.77,0.0,Fog
2017-01-01,5:30 PM,21,19,93,VAR,2,0,28.77,0.0,Fog
2017-01-01,5:44 PM,21,19,93,VAR,2,0,28.77,0.0,Fog
2017-01-01,6:00 PM,21,19,93,VAR,2,0,28.77,0.0,Fog
2017-01-01,6:30 PM,21,19,93,VAR,2,0,28.74,0.0,Fog
2017-01-01,7:00 PM,21,19,93,ESE,3,0,28.74,0.0,Fog
2017-01-01,7:30 PM,21,19,93,VAR,3,0,28.74,0.0,Fog
2017-01-01,8:00 PM,21,19,93,VAR,2,0,28.74,0.0,Fog
2017-01-01,8:10 PM,21,19,93,ESE,3,0,28.74,0.0,Fog
2017-01-01,8:30 PM,21,19,93,VAR,2,0,28.74,0.0,Fog
2017-01-01,8:39 PM,21,19,93,VAR,2,0,28.74,0.0,Fog
2017-01-01,8:55 PM,19,18,93,VAR,2,0,28.74,0.0,Fog
2017-01-01,9:00 PM,19,18,93,VAR,2,0,28.74,0.0,Fog
2017-01-01,9:04 PM,18,16,93,E,3,0,28.74,0.0,Fog
2017-01-01,9:12 PM,18,16,93,SE,6,0,28.74,0.0,Fog
2017-01-01,9:15 PM,19,18,93,SE,6,0,28.74,0.0,Mist
2017-01-01,9:30 PM,19,18,93,SSE,3,0,28.71,0.0,Mist
2017-01-01,9:34 PM,19,18,93,VAR,2,0,28.71,0.0,Mist
2017-01-01,10:00 PM,21,19,93,SSW,7,0,28.71,0.0,Fair
2017-01-01,10:30 PM,23,21,93,SSW,6,0,28.71,0.0,Fair
2017-01-01,11:00 PM,23,21,93,SSW,8,0,28.71,0.0,Fair
2017-01-01,11:30 PM,23,21,93,VAR,2,0,28.71,0.0,Fair
2017-01-02,12:00 AM,23,21,93,SW,5,0,28.71,0.0,Fair
2017-01-02,12:30 AM,21,19,93,SW,6,0,28.68,0.0,Fair
2017-01-02,1:00 AM,27,25,93,WSW,10,0,28.68,0.0,Fair
2017-01-02,1:30 AM,25,25,100,SW,9,0,28.68,0.0,Fair
2017-01-02,2:00 AM,27,25,93,WSW,9,0,28.68,0.0,Fair
2017-01-02,2:18 AM,23,21,93,NNW,6,0,28.68,0.0,Patches of Fog
2017-01-02,2:30 AM,19,18,93,VAR,2,0,28.68,0.0,Patches of Fog
2017-01-02,2:39 AM,23,21,93,VAR,2,0,28.68,0.0,Patches of Fog
