Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2020-01-01,12:00 AM,39,34,81,WNW,12,0,30.04,0.0,Mostly Cloudy
2020-01-01,12:30 AM,37,32,81,WNW,13,0,30.04,0.0,Fair
2020-01-01,1:00 AM,37,32,81,WNW,12,0,30.04,0.0,Fair
2020-01-01,1:30 AM,37,32,81,WNW,10,0,30.04,0.0,Partly Cloudy
2020-01-01,2:00 AM,37,34,87,WNW,13,0,30.04,0.0,Mostly Cloudy
2020-01-01,2:30 AM,37,34,87,WNW,10,0,30.04,0.0,Mostly Cloudy
2020-01-01,3:00 AM,36,32,87,WNW,12,0,30.04,0.0,Mostly Cloudy
2020-01-01,3:30 AM,37,34,87,WNW,12,0,30.04,0.0,Mostly Cloudy
2020-01-01,4:00 AM,36,32,87,WNW,13,0,30.04,0.0,Partly Cloudy
2020-01-01,4:30 AM,37,32,81,WNW,13,0,30.04,0.0,Mostly Cloudy
2020-01-01,5:00 AM,37,32,81,WNW,9,0,30.04,0.0,Mostly Cloudy
2020-01-01,5:30 AM,37,32,81,WNW,8,0,30.04,0.0,Mostly Cloudy
2020-01-01,6:00 AM,37,32,81,WNW,8,0,30.07,0.0,Mostly Cloudy
2020-01-01,6:30 AM,37,32,81,WNW,9,0,30.07,0.0,Mostly Cloudy
2020-01-01,7:00 AM,36,32,87,WNW,10,0,30.04,0.0,Mostly Cloudy
2020-01-01,7:30 AM,30,28,93,NW,8,0,30.07,0.0,Fair
2020-01-01,8:00 AM,30,28,93,WNW,7,0,30.07,0.0,Fair
2020-01-01,8:30 AM,32,28,87,WNW,7,0,30.07,0.0,Fair
2020-01-01,9:00 AM,32,28,87,WNW,7,0,30.07,0.0,Fair
2020-01-01,9:30 AM,34,30,87,WNW,7,0,30.10,0.0,Fair
2020-01-01,10:00 AM,37,32,81,WNW,12,0,30.07,0.0,Fair
2020-01-01,10:30 AM,37,30,75,W,12,0,30.10,0.0,Fair
2020-01-01,11:00 AM,37,32,81,W,13,0,30.07,0.0,Fair
2020-01-01,11:30 AM,37,30,75,WNW,15,0,30.07,0.0,Fair
2020-01-01,12:00 PM,39,32,75,W,16,0,30.07,0.0,Partly Cloudy
2020-01-01,12:30 PM,39,32,75,W,15,0,30.07,0.0,Partly Cloudy
2020-01-01,1:00 PM,41,32,70,WNW,16,0,30.07,0.0,Partly Cloudy
2020-01-01,1:30 PM,39,32,75,WNW,18,0,30.04,0.0,Fair
2020-01-01,2:00 PM,39,32,75,WNW,15,0,30.04,0.0,Fair
2020-01-01,2:30 PM,39,32,75,WNW,10,0,30.04,0.0,Fair
2020-01-01,3:00 PM,39,32,75,W,8,0,30.04,0.0,Fair
2020-01-01,3:30 PM,39,32,75,W,9,0,30.04,0.0,Fair
2020-01-01,4:00 PM,37,30,75,W,10,0,30.04,0.0,Fair
2020-01-01,4:30 PM,34,30,87,WNW,8,0,30.04,0.0,Fair
2020-01-01,5:00 PM,32,28,87,NW,10,0,30.04,0.0,Fair
2020-01-01,5:30 PM,32,30,93,W,5,0,30.04,0.0,Fair
2020-01-01,6:00 PM,32,28,87,WNW,5,0,30.04,0.0,Fair
2020-01-01,6:30 PM,30,28,93,WNW,6,0,30.04,0.0,Fair
2020-01-01,7:00 PM,30,30,100,WNW,6,0,30.04,0.0,Fair
2020-01-01,7:30 PM,28,28,100,WSW,2,0,30.04,0.0,Fair
2020-01-01,8:00 PM,28,28,100,VAR,2,0,30.01,0.0,Fair
2020-01-01,8:30 PM,28,28,100,SSW,6,0,30.01,0.0,Fair
2020-01-01,9:00 PM,28,27,93,SW,5,0,30.01,0.0,Fair
2020-01-01,9:30 PM,30,28,93,W,3,0,30.01,0.0,Fair
2020-01-01,10:00 PM,28,27,93,SSW,2,0,30.01,0.0,Fair
2020-01-01,10:30 PM,27,25,93,E,1,0,30.01,0.0,Shallow Fog
2020-01-01,11:00 PM,25,23,93,ESE,1,0,30.01,0.0,Mist
2020-01-01,11:30 PM,25,25,100,SE,2,0,30.01,0.0,Mist
2020-01-02,12:00 AM,23,21,93,VAR,1,0,30.01,0.0,Fog
2020-01-02,12:30 AM,23,21,93,SSE,2,0,30.01,0.0,Fog
2020-01-02,1:00 AM,23,21,93,SSE,2,0,30.01,0.0,Mist
2020-01-02,1:30 AM,21,21,100,S,5,0,30.01,0.0,Mist
2020-01-02,2:00 AM,21,21,100,S,2,0,30.01,0.0,Fair
2020-01-02,2:30 AM,23,21,93,S,1,0,30.01,0.0,Shallow Fog
2020-01-02,3:00 AM,21,21,100,VAR,2,0,30.01,0.0,Shallow Fog
2020-01-02,3:30 AM,19,19,100,SW,2,0,30.01,0.0,Shallow Fog
2020-01-02,4:00 AM,21,19,93,VAR,1,0,30.01,0.0,Shallow Fog
2020-01-02,4:30 AM,21,19,93,VAR,1,0,29.98,0.0,Shallow Fog
2020-01-02,5:00 AM,21,19,93,SW,7,0,29.95,0.0,Fair
2020-01-02,5:30 AM,27,23,86,SW,7,0,29.95,0.0,Fair
2020-01-02,6:00 AM,28,23,80,VAR,2,0,29.95,0.0,Fair
2020-01-02,6:30 AM,19,16,86,VAR,1,0,29.95,0.0,Fair
2020-01-02,7:00 AM,21,19,93,VAR,1,0,29.95,0.0,Fair
2020-01-02,7:30 AM,19,18,93,VAR,2,0,29.95,0.0,Fair
2020-01-02,8:00 AM,21,19,93,SE,3,0,29.95,0.0,Fair
2020-01-02,8:30 AM,21,19,93,VAR,2,0,29.95,0.0,Fair
2020-01-02,9:00 AM,23,19,86,VAR,2,0,29.95,0.0,Fair
2020-01-02,9:30 AM,23,21,93,E,1,0,29.95,0.0,Fair
2020-01-02,10:00 AM,27,23,86,VAR,1,0,29.95,0.0,Fair
2020-01-02,10:30 AM,32,27,80,SE,3,0,29.95,0.0,Fair
2020-01-02,11:00 AM,34,28,81,ESE,5,0,29.95,0.0,Fair
2020-01-02,11:30 AM,36,28,75,ESE,6,0,29.95,0.0,Fair
2020-01-02,12:00 PM,37,28,70,SE,6,0,29.92,0.0,Fair
2020-01-02,12:30 PM,39,30,70,SE,6,0,29.92,0.0,Fair
2020-01-02,1:00 PM,39,30,70,ESE,7,0,29.92,0.0,Fair
2020-01-02,1:30 PM,41,30,65,ESE,6,0,29.89,0.0,Fair
2020-01-02,2:00 PM,41,30,65,ESE,6,0,29.89,0.0,Fair
2020-01-02,2:30 PM,43,30,61,SE,5,0,29.89,0.0,Fair
2020-01-02,3:00 PM,41,30,65,SE,5,0,29.87,0.0,Fair
2020-01-02,3:30 PM,36,28,75,ESE,7,0,29.87,0.0,Fair
2020-01-02,4:00 PM,39,30,70,SSE,5,0,29.87,0.0,Fair
2020-01-02,4:30 PM,32,28,87,SE,5,0,29.87,0.0,Fair
2020-01-02,5:00 PM,32,25,75,SE,6,0,29.84,0.0,Fair
2020-01-02,5:30 PM,32,28,87,SE,6,0,29.84,0.0,Fair
2020-01-02,6:00 PM,34,28,81,SE,5,0,29.84,0.0,Fair
2020-01-02,6:30 PM,32,27,80,ESE,3,0,29.84,0.0,Fair
